,a,b,ca,cb,taxo,geom,mixed,prec,rec,f1,acc,model,hsize,gsize,cos,euc,neuc,taxcos,taxeuc,taxneuc
7864,dbo:RoadJunction,dbo:Colour,191,879,3.283333333333333,0.4226111898170397,1.8529722615751865,0.9620253164556962,0.9620253164556962,0.9620253164556962,0.951219512195122,TransH_50d_120e,313.811214953271,409.74260212967823,0.899963494637338,5.136884560947423,1.3416135767331352,0.7676032878300094,0.6348173041108587,0.8055096871402808
7865,dbo:RoadJunction,dbo:Building,191,80911,1.1166666666666665,0.17141086713910186,0.6440387669028842,0.6219512195121951,0.7285714285714285,0.6710526315789473,0.5934959349593496,TransH_50d_120e,381.1003674385342,3931.1577175178336,0.7371039548154134,4.127293611133087,1.2141696379134288,0.4625860893684465,0.34934392560730837,0.5330651680516351
7866,dbo:RoadJunction,dbo:Eukaryote,191,296366,3.783333333333333,0.4114365079214346,2.097384920627384,0.9610389610389609,1.0,0.9801324503311256,0.975609756097561,TransH_50d_120e,381.7539697258874,7523.689653354923,0.8768560832206971,6.533103337809681,1.3242779792933936,0.8096164635862504,0.7659096466301836,0.8523997930418029
7867,dbo:RoadJunction,dbo:FilmFestival,191,962,4.116666666666666,0.3527636204123763,2.234715143539521,0.9610389610389609,0.9487179487179488,0.9548387096774196,0.9430894308943092,TransH_50d_120e,318.7198612315698,428.65137349599166,0.8131190707998531,4.327360359098836,1.27524042501785,0.8150278897613381,0.677461565502651,0.8708458146060868
7868,dbo:RoadJunction,dbo:Play,191,1991,4.116666666666666,0.457020340318985,2.2868435034928263,0.9625,0.9746835443037974,0.9685534591194968,0.9593495934959351,TransH_50d_120e,348.5618698441796,616.6692792737448,0.877221463890816,4.574091005052261,1.32455385990213,0.8449985626384451,0.6912938892527853,0.8877053803245052
7869,dbo:RoadJunction,dbo:Hotel,191,1321,1.3666666666666665,0.17669380873219662,0.7716802376994315,0.7638888888888888,0.7142857142857143,0.7382550335570469,0.6829268292682927,TransH_50d_120e,333.74470899470896,502.3056838221122,0.707797582901192,4.417850073565195,1.1897878658829832,0.47529252921935494,0.3920416825731212,0.551137835843082
7870,dbo:RoadJunction,dbo:PersonFunction,191,212,3.283333333333333,0.5351546024811206,1.9092439679072268,0.9607843137254902,1.0,0.98,0.9801980198019802,TransH_50d_120e,200.95285359801485,201.22624083354543,0.8064040830585313,3.8619316821378393,1.2699638444133212,0.7238601702365051,0.5633403259766186,0.7810136573344546
7871,dbo:RoadJunction,dbo:SpeedwayTeam,191,112,4.366666666666666,0.4533471119349,2.4100068893007838,0.96875,0.96875,0.96875,0.9736842105263158,TransH_50d_120e,141.2013201320132,146.2600423902578,0.6639075017518505,3.921885017118681,1.152308553948855,0.771673404796817,0.6811380763568724,0.8552255977871632
7872,dbo:RoadJunction,dbo:Photographer,191,458,4.366666666666666,0.5812155886243066,2.4739411276454866,1.0,0.986842105263158,0.9933774834437086,0.9918699186991871,TransH_50d_120e,269.57781201848996,295.76680003002383,0.8754006217333697,5.421430179620503,1.323178462440626,0.8705556899828042,0.7652062474813803,0.9136436020952647
7873,dbo:RoadJunction,dbo:OfficeHolder,191,69360,4.116666666666666,0.5614706089883994,2.3390686378275327,1.0,1.0,1.0,1.0,TransH_50d_120e,380.9509568518066,3639.747243971752,0.8470202607004869,4.29694392010182,1.3015531189317529,0.8308781790198809,0.6757563455049198,0.8798417523928397
